barcode,variant_id,product_id,product_title,variant_title,sku,product_type,vendor,tags,price,unit_cost,inventory_quantity,status
053334200196,gid://shopify/ProductVariant/43791524134977,gid://shopify/Product/7888089186369,2025-26 Upper Deck Skybox Metal Universe Hockey Hobby Box,Default Title,,Sealed Wax,Upper Deck,"hobby, Hobby box, Hockey, In-Stock, New, Sealed Hockey, Upper Deck",164.99,95.75,3,ACTIVE
820650816819,gid://shopify/ProductVariant/43791538683969,gid://shopify/Product/7888092758081,Pokemon Rebel Clash Booster Unlimited,Default Title,,Booster Box,Pokemon,"In-Stock, Pokemon, Sealed Pokemon",599.99,495.0,1,ACTIVE
887521156894,gid://shopify/ProductVariant/43801006899265,gid://shopify/Product/7889976918081,2025 Topps Chrome Football Hobby Hanger,Default Title,,Sealed Wax,Topps,"2025, Football Box, hanger, In-Stock, New, Sealed Football, Topps",39.99,39.0,0,ACTIVE
746134195792,gid://shopify/ProductVariant/43886787952705,gid://shopify/Product/7895467753537,2026 Panini Donruss Racing Hobby Box,Default Title,,Sealed Wax,Panini,"In-Stock, New, Panini",84.99,68.5,17,ACTIVE
196214109247,gid://shopify/ProductVariant/43910737461313,gid://shopify/Product/7896535498817,Pokemon Cynthia's Garchomp ex Premium Collection,Default Title,,Booster Pack,Pokemon,"In-Stock, New, Pokemon, Sealed Pokemon",64.99,52.89,13,ACTIVE
820650855900,gid://shopify/ProductVariant/43910742343745,gid://shopify/Product/7896537169985,Pokemon Mabosstiff ex Box,Default Title,,Booster Pack,Pokemon,"In-Stock, New, Pokemon, Sealed Pokemon",34.99,27.74,2,ACTIVE
196214134553,gid://shopify/ProductVariant/43910745751617,gid://shopify/Product/7896538611777,Mega Lucario ex Premium Figure Collection,Default Title,,Booster Pack,Pokemon,"New, Pokemon",49.99,42.25,0,ACTIVE
887521153695,gid://shopify/ProductVariant/43915870830657,gid://shopify/Product/7897478758465,2026 Topps Chrome UFC Blaster Box,Default Title,,Sealed Wax,Topps,"In-Stock, New, Sealed Entertainment, Topps, UFC",29.99,19.5,38,ACTIVE
887521153749,gid://shopify/ProductVariant/43917773242433,gid://shopify/Product/7897970802753,2026 Topps Chrome UFC Mega Box,Default Title,,Sealed Wax,Topps,"In-Stock, New, Sealed Entertainment, Topps, UFC",79.99,60.0,20,ACTIVE
887521153596,gid://shopify/ProductVariant/43917774815297,gid://shopify/Product/7897970999361,2026 Topps Chrome UFC Hobby Box,Default Title,,Sealed Wax,Topps,"In-Stock, New, Sealed Entertainment, Topps, UFC",209.99,177.0,7,ACTIVE
887521156832,gid://shopify/ProductVariant/43923000328257,gid://shopify/Product/7898764476481,2025 Topps Chrome Football Mega Box,Default Title,,Sealed Wax,Topps,"2025, Football Box, New, Topps",89.99,75.0,-5,ACTIVE
053334044271,gid://shopify/ProductVariant/43923051053121,gid://shopify/Product/7898765983809,2025 Upper Deck Fleer Ultra Superman Blaster,Default Title,,Sealed Wax,Upper Deck,"Entertainment, Fleer, In-Stock, New, Sealed Entertainment, Upper Deck",29.99,22.25,5,ACTIVE
053334185752,gid://shopify/ProductVariant/43923076939841,gid://shopify/Product/7898766901313,2025-26 Upper Deck SPx Hockey Hobby Box,Default Title,,Sealed Wax,Upper Deck,"2025-26, hobby, Hobby box, Hockey, In-Stock, New, Sealed Hockey, Upper Deck",149.99,125.0,4,ACTIVE
81100239,gid://shopify/ProductVariant/43923098402881,gid://shopify/Product/7898772897857,2026 Sage High Series Football Hobby Box,Pack,,Sealed Wax,Sage,"2026, football, Football Box, Football Cards, New, Sage, Sealed Football",5.99,3.62,0,ACTIVE
746134178818,gid://shopify/ProductVariant/43931964538945,gid://shopify/Product/7900416966721,2025-26 Panini Donruss Road to FIFA World Cup Hobby Blaster,Default Title,,Sealed Wax,Panini,"In-Stock, New, Panini, Sealed Soccer",44.99,17.5,16,ACTIVE
746134186264,gid://shopify/ProductVariant/43931985150017,gid://shopify/Product/7900426895425,2025 Panini Mosaic Football Fat Pack,Default Title,,Sealed Wax,Panini,"2025, football, New, Panini",9.99,6.66,-9,ACTIVE
5527584050,gid://shopify/ProductVariant/43936372392001,gid://shopify/Product/7901024550977,2025-26 Topps Chrome UEFA Club Competitions Soccer Mega Box,Default Title,6166094459,Sealed Wax,Topps,"2025-26, In-Stock, New, Sealed Soccer, Soccer, Topps",69.99,60.0,17,ACTIVE
3883459622,gid://shopify/ProductVariant/43936372457537,gid://shopify/Product/7901024583745,2025-26 Topps Chrome UEFA Club Competitions Soccer Hobby Box,Default Title,6609027042,Sealed Wax,Topps,"2025-26, In-Stock, New, Sealed Soccer, Soccer, Topps",274.99,250.0,2,ACTIVE
4928024315,gid://shopify/ProductVariant/43936372555841,gid://shopify/Product/7901024682049,2025-26 Topps Chrome UEFA Club Competitions Soccer Blaster Box,Default Title,8224901046,Sealed Wax,Topps,"2025-26, In-Stock, New, Sealed Soccer, Soccer, Topps",44.99,40.0,20,ACTIVE
887521158300,gid://shopify/ProductVariant/43936523223105,gid://shopify/Product/7901056204865,2026 Bowman Baseball Blaster Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Baseball, Topps",54.99,40.25,20,ACTIVE
887521155583,gid://shopify/ProductVariant/43938299904065,gid://shopify/Product/7901492576321,2025-26 Bowman Basketball Mega Box,Default Title,9623067962,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Basketball, Topps",74.99,,0,ACTIVE
887521158119,gid://shopify/ProductVariant/43991356506177,gid://shopify/Product/7901528457281,2026 Bowman Baseball Hobby Box,Box,6244311665,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Baseball, Topps",374.99,239.99,6,ACTIVE
887521158102,gid://shopify/ProductVariant/43991356538945,gid://shopify/Product/7901528457281,2026 Bowman Baseball Hobby Box,Pack,,Sealed Wax,Topps,"2025-26, Basketball, Bowman, In-Stock, New, Sealed Baseball, Topps",18.99,12.0,0,ACTIVE
887521158140,gid://shopify/ProductVariant/43938419343425,gid://shopify/Product/7901546381377,2026 Bowman Baseball Jumbo Box,Default Title,5783029027,Sealed Wax,Topps,"2025-26, Basketball, Bowman, New, Topps",639.99,580.0,0,ACTIVE
887521158102,gid://shopify/ProductVariant/43938573680705,gid://shopify/Product/7901572431937,2026 Bowman Baseball Hobby Pack,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, Bowman, New, Topps",17.50,12.0,-14,ACTIVE
0196214112568,gid://shopify/ProductVariant/43938730934337,gid://shopify/Product/7901592617025,Pokemon Prismatic Evolutions Super-Premium Collection,Default Title,2970766390,Booster Box,Pokemon,"In-Stock, New, Pack, Pokemon, Sealed Pokemon",284.99,212.5,3,ACTIVE
887521171040,gid://shopify/ProductVariant/43940549918785,gid://shopify/Product/7901994418241,2025-26 Topps Hoops Basketball Hanger Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, In-Stock, New, Sealed Basketball, Topps",24.99,17.99,7,ACTIVE
887521157204,gid://shopify/ProductVariant/43940553195585,gid://shopify/Product/7901998841921,2025-26 Topps Hoops Basketball Blaster Box,Default Title,,Sealed Wax,Topps,"2025-26, Basketball, New, Topps",39.99,34.99,-7,ACTIVE
