product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7856734896193,gid://shopify/ProductVariant/43696633479233,2025 Topps Knockout UFC Hobby Box,,ACTIVE,Sealed Wax,Default Title,,80503349,274.99,,250,2,0,0,0
gid://shopify/Product/7856767205441,gid://shopify/ProductVariant/43696754786369,2025-26 Upper Deck Series 2 Blaster Box,,ACTIVE,Sealed Wax,Default Title,,053334438285,29.99,,17.5,0,0,0,0
gid://shopify/Product/7856773890113,gid://shopify/ProductVariant/43696778870849,2026 Upper Deck Batman The Animated Series Hobby Box,,ACTIVE,Sealed Wax,Default Title,,053334841429,204.99,,168,2,0,0,0
gid://shopify/Product/7856781819969,gid://shopify/ProductVariant/43696802988097,2025 Bowman's Best Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521152414,674.99,,499.5,3,0,0,0
gid://shopify/Product/7859533840449,gid://shopify/ProductVariant/43704582733889,2025 Panini Prizm Football Retail Mega Box,,ACTIVE,Sealed Wax,Default Title,,746134187421,49.99,,25,0,0,0,0
gid://shopify/Product/7860154564673,gid://shopify/ProductVariant/43706136625217,2025-26 Panini Donruss Road to FIFA World Cup Soccer Hobby Box,,ACTIVE,Sealed Wax,Default Title,PAN_25/26_DONR_RTWC_SCR_HOBBY,746134178665,429.99,,365,4,0,0,0
gid://shopify/Product/7860154728513,gid://shopify/ProductVariant/43706136789057,Pokemon Perfect Order Elite Trainer Box,,ACTIVE,Elite Trainer Box,Default Title,PKM_ME_PERFORDER_ETB,196214152038,74.99,,32.25,2,0,0,0
gid://shopify/Product/7860154761281,gid://shopify/ProductVariant/43706136821825,Pokemon Perfect Order Booster Bundle,,ACTIVE,Booster Box,Default Title,PKM_ME_PERFORDER_BUNDLE,196214150478,49.99,,52,1,0,0,0
gid://shopify/Product/7841912717377,gid://shopify/ProductVariant/43648304349249,2026 Topps Heritage Baseball Mega Box,,ACTIVE,Sealed Wax,Default Title,,887521155385,74.99,,59.5,-6,0,0,0
gid://shopify/Product/7842475081793,gid://shopify/ProductVariant/43650215706689,One Piece TCG: Wings of the Captain [OP-06] Booster Box,,ACTIVE,Booster Box,Default Title,,810059781139,349.99,,305,1,0,0,0
